 281.118     31.0 89.33316455860704 26097.328972177336
 285.551     14.0 260.97328972177337 4014.9736880272826
 286.021     22.0 150.5615133010231 4014.9736880272826
 287.981      9.0 2830.556450059234 15056.15133010231
 289.809     11.0 240.89842128163696 3011.230266020462
   292.1     20.0 240.89842128163696 9033.690798061385
 292.541      6.0 562.0963163238196 4014.9736880272826
 296.367      6.0 2629.8077656578703 14052.407908095489
 298.058     28.0 113.42300668677073 22082.355284150053
 298.674     35.0 220.82355284150054 3011.230266020462
 300.868     17.0 200.74868440136413 4014.9736880272826
 301.272     11.0 281.0481581619098 3011.230266020462
 304.855      8.0 401.49736880272826 4014.9736880272826
  306.56      7.0 2368.8344759360966 13048.664486088668
 309.567     15.0 230.86098706156875 4014.9736880272826
 310.316      6.0 2348.75960749596 13048.664486088668
 311.131     13.0 311.1604608221144 4014.9736880272826
 316.327     12.0 190.71125018129592 5018.717110034103
 317.476     11.0 220.82355284150054 6022.460532040924
  319.21     20.0 200.74868440136413 6022.460532040924
 320.835     13.0 230.86098706156875 4014.9736880272826
 321.877     15.0 471.7594083432057 11041.177642075027
 323.642     18.0 200.74868440136413 8029.947376054565
 331.127     12.0 301.1230266020462 3011.230266020462
 335.049     20.0 381.42250036259185 5018.717110034103
  336.21      4.0 160.5989475210913 5018.717110034103
 336.743     11.0 351.3101977023872 8029.947376054565
 340.294      7.0 2248.3852652952783 13048.664486088668
  340.74      5.0 481.7968425632739 7026.203954047744
 341.321     17.0 471.7594083432057 6022.460532040924
 341.722     18.0 431.60967146293285 6022.460532040924
 342.514     21.0 441.6471056830011 6022.460532040924
 345.073     21.0 240.89842128163696 4014.9736880272826
 348.324     25.0 311.1604608221144 8029.947376054565
 354.289     16.0 331.23532926225084 4014.9736880272826
 356.523     10.0 1324.9413170490034 7026.203954047744
   357.7     40.0 471.7594083432057 5018.717110034103
   359.2      5.0 170.6363817411595 6022.460532040924
 361.501     16.0 381.42250036259185 4014.9736880272826
 362.608      5.0 2589.6580287775973 15056.15133010231
 363.749     22.0 612.2834874241606 4014.9736880272826
 366.911     40.0 491.8342767833421 17063.63817411595
 367.893      9.0 20375.99146673846 11041.177642075027
 375.672      9.0 1445.3905276898217 8029.947376054565
 376.347     19.0 301.1230266020462 5018.717110034103
 380.158     13.0 853.1819087057976 6022.460532040924
 386.214     18.0 813.0321718255248 7026.203954047744
 391.123     20.0 732.7326980649791 10037.434220068206
 391.973     20.0 762.8450007251837 9033.690798061385
   392.3     20.0 411.53480302279644 7026.203954047744
 393.531     31.0 702.6203954047744 16059.89475210913
 394.424     32.0 833.1070402656611 24089.842128163695
 395.473     31.0 752.8075665051155 16059.89475210913
 397.541     24.0 1053.9305931071617 18067.38159612277
 399.621     11.0 1505.615133010231 15056.15133010231
 400.253     15.0 1314.9038828289351 14052.407908095489
 417.288     14.0 431.60967146293285 5018.717110034103
 417.704     12.0 521.9465794435467 5018.717110034103
 418.554     14.0 692.5829611847062 6022.460532040924
 420.023      4.0 4316.096714629329 3011.230266020462
 426.666      6.0 8732.567771459338 6022.460532040924
 430.333     31.0 642.3957900843652 13048.664486088668
 431.263      7.0 1786.6632911721408 10037.434220068206
 433.236     19.0 1304.866448608867 13048.664486088668
 434.282      9.0 4316.096714629329 3011.230266020462
 445.399     23.0 361.34763192245543 7026.203954047744
 448.518      4.0 10740.05461547298 5018.717110034103
  450.11     31.0 461.7219741231375 10037.434220068206
 451.077      6.0 2549.5082918973244 13048.664486088668
 452.479     12.0 2679.994936758211 14052.407908095489
 458.176     32.0 401.49736880272826 7026.203954047744
 459.393     25.0 562.0963163238196 8029.947376054565
  462.39      7.0 6323.58355864297 3011.230266020462
  463.39      8.0 1204.4921064081848 8029.947376054565
 467.107     11.0 742.7701322850472 6022.460532040924
  469.74     14.0 401.49736880272826 6022.460532040924
  472.31      8.0 2639.8451998779383 15056.15133010231
 474.674     32.0 1134.2300668677071 17063.63817411595
 475.327     21.0 1184.4172379680483 13048.664486088668
   476.8     25.0 1023.8182904469571 24089.842128163695
 477.604      6.0 34127.2763482319 18067.38159612277
 486.647     19.0 562.0963163238196 11041.177642075027
  493.32      8.0 1284.7915801687304 7026.203954047744
 495.354      4.0 6323.58355864297 3011.230266020462
 496.552     21.0 1405.2407908095488 3011.230266020462
 499.916     26.0 652.4332243044335 17063.63817411595
 500.562     16.0 1144.2675010877754 15056.15133010231
 502.667     10.0 3161.791779321485 24089.842128163695
 506.553      6.0 3733.925529865373 20074.86844013641
 522.542     11.0 31818.666477616214 33123.53292622508
